_id,Ord,Lemma,Part of Speech,Meaning,Scansion,Syllable Count,Root,FreqRank,Count,No Type Tag,No Macra
ObjectId("5ced6c6985a5570a502dbd8b"),1,ā[n],Noun,letter Aa,¯,1,ā[n],,2,ā,a
ObjectId("5ced6c6985a5570a502dbd8c"),2,ā[pre],Preposition,by (+abl),¯,1,ā[pre],21,4,ā,a
ObjectId("5ced6c6985a5570a502dbd8d"),3,abarceō,Verb,keep away,˘¯˘¯,4,arceō,,6,abarceō,abarceo
ObjectId("5ced6c6985a5570a502dbd8e"),4,abavia,Noun,great-great-grandmother,˘˘˘˘,4,avus,,6,abavia,abavia
ObjectId("5ced6c6985a5570a502dbd8f"),5,abavus,Noun,great-great-grandfather,˘˘˘,3,avus,,7,abavus,abavus
ObjectId("5ced6c6985a5570a502dbd90"),6,abdicō,Verb,deny, abdicate, renounce,¯˘¯,3,dicō,,12,abdicō,abdico
ObjectId("5ced6c6985a5570a502dbd91"),7,abdīcō,Verb,deny (an omen or right),¯¯¯,3,dīcō,,2,abdīcō,abdico
ObjectId("5ced6c6985a5570a502dbd92"),8,abdō,Verb,take away, hide (trans),¯¯,2,faciō,,45,abdō,abdo
ObjectId("5ced6c6985a5570a502dbd93"),9,abdōmen,Noun,abdomen,¯¯˘,3,faciō,,7,abdōmen,abdomen
ObjectId("5ced6c6985a5570a502dbd94"),10,abdūcō,Verb,carry away,¯¯¯,3,dūcō,,3,abdūcō,abduco
ObjectId("5ced6c6985a5570a502dbd95"),11,abeō,Verb,go away,˘˘¯,3,eō,553,15,abeō,abeo
ObjectId("5ced6c6985a5570a502dbd96"),12,abiciō,Verb,throw away, degrade,¯˘˘¯,4,iaciō,,57,abiciō,abicio
ObjectId("5ced6c6985a5570a502dbd97"),13,abigō,Verb,drive away (trans),˘˘¯,3,agō,,31,abigō,abigo
ObjectId("5ced6c6985a5570a502dbd98"),14,ablūdō,Verb,play out of tune,˘¯¯,3,lūdus,,1,ablūdō,abludo
